Id,Type,Price,Square,Building,Address,Latitude,Longitude,Link
1,супермаркет,90000.0,78.22,жилой дом,"Санкт-Петербург, бульвар Головнина, 3к1",59.9374751,30.2011907,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/prekrasnoe_pomeschenie_78.22_m_2776309138
2,супермаркет,60000.0,57.0,жилой дом,"Санкт-Петербург, 6 линия , 49",59.9079611,29.7053011,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_57_m_2978264142
3,супермаркет,130000.0,72.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 4",59.9409524,30.193543,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_72_m_2240230470
4,супермаркет,70000.0,35.0,жилой дом,"Санкт-Петербург, набережная реки Смоленки, 3к2",59.9501105,30.2625639,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_35_m_2452592954
5,супермаркет,59990.0,44.5,жилой дом,"Санкт-Петербург, Наличная ул., 44к1",59.9520893,30.2330151,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_44.5_m_2783390108
7,супермаркет,40000.0,35.5,жилой дом,"Санкт-Петербург, Гаванская ул., 2",59.9307796,30.2402953,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_35.5_m_2216075098
8,супермаркет,17500.0,97.0,жилой дом,"Санкт-Петербург, 6 линия , 21",59.9079611,29.7053011,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_97_m_2935496360
9,супермаркет,155000.0,102.0,жилой дом,"Санкт-Петербург, ул. Челюскина, 2",59.9413557,30.1944928,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/na_trafike_magnita_ryadom_s_ostanovkoy_102_kv.m_2888688040
11,супермаркет,80000.0,25.0,жилой дом,"Санкт-Петербург, 24 линия , 25",59.8240215,30.25151328963903,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_25_m_2515618186
13,супермаркет,6000.0,12.0,жилой дом,"Санкт-Петербург, Шкиперский проток, 2",59.93313185,30.24086837736295,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/ofis_s_yuridicheskim_adresom_12_m_2627507231
14,супермаркет,150000.0,70.0,жилой дом,"Санкт-Петербург, 7 линия , 28",59.9080054,29.7118753,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/torgovaya_ploschad_70_m_3046089023
17,супермаркет,60000.0,60.0,жилой дом,"Санкт-Петербург, ул. Кораблестроителей, 32к3",59.9533082,30.2126466,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_60_m_3201979207
18,супермаркет,39000.0,23.0,жилой дом,"Санкт-Петербург, Кадетская линия, 27/5",59.9459126,30.28704601377132,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_23_m_2548412878
19,супермаркет,70000.0,48.0,жилой дом,"Санкт-Петербург, 12 линия , 53",59.6747753,30.2245903,https://www.avito.ru/sankt-peterburg/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_48_m_2714966095
